"Notes"	"County"	"County Code"	"Ethnicity"	"Ethnicity Code"	Population
	"Crittenden County, AR"	"05035"	"Not Hispanic or Latino"	"2186-5"	46624
"Total"	"Crittenden County, AR"	"05035"			47955
	"Cross County, AR"	"05037"	"Hispanic or Latino"	"2135-2"	328
	"Cross County, AR"	"05037"	"Not Hispanic or Latino"	"2186-5"	16091
"Total"	"Cross County, AR"	"05037"			16419
	"Dallas County, AR"	"05039"	"Hispanic or Latino"	"2135-2"	271
	"Dallas County, AR"	"05039"	"Not Hispanic or Latino"	"2186-5"	6738
"Total"	"Dallas County, AR"	"05039"			7009
	"Desha County, AR"	"05041"	"Hispanic or Latino"	"2135-2"	731
	"Desha County, AR"	"05041"	"Not Hispanic or Latino"	"2186-5"	10630
"Total"	"Desha County, AR"	"05041"			11361
	"Drew County, AR"	"05043"	"Hispanic or Latino"	"2135-2"	684
	"Drew County, AR"	"05043"	"Not Hispanic or Latino"	"2186-5"	17535
"Total"	"Drew County, AR"	"05043"			18219
	"Faulkner County, AR"	"05045"	"Hispanic or Latino"	"2135-2"	5277
	"Faulkner County, AR"	"05045"	"Not Hispanic or Latino"	"2186-5"	120730
"Total"	"Faulkner County, AR"	"05045"			126007
	"Franklin County, AR"	"05047"	"Hispanic or Latino"	"2135-2"	574
	"Franklin County, AR"	"05047"	"Not Hispanic or Latino"	"2186-5"	17141
"Total"	"Franklin County, AR"	"05047"			17715
	"Fulton County, AR"	"05049"	"Hispanic or Latino"	"2135-2"	215
	"Fulton County, AR"	"05049"	"Not Hispanic or Latino"	"2186-5"	12262
"Total"	"Fulton County, AR"	"05049"			12477
	"Garland County, AR"	"05051"	"Hispanic or Latino"	"2135-2"	5900
	"Garland County, AR"	"05051"	"Not Hispanic or Latino"	"2186-5"	93486
"Total"	"Garland County, AR"	"05051"			99386
	"Grant County, AR"	"05053"	"Hispanic or Latino"	"2135-2"	552
	"Grant County, AR"	"05053"	"Not Hispanic or Latino"	"2186-5"	17713
"Total"	"Grant County, AR"	"05053"			18265
	"Greene County, AR"	"05055"	"Hispanic or Latino"	"2135-2"	1343
	"Greene County, AR"	"05055"	"Not Hispanic or Latino"	"2186-5"	43982
"Total"	"Greene County, AR"	"05055"			45325
	"Hempstead County, AR"	"05057"	"Hispanic or Latino"	"2135-2"	2864
	"Hempstead County, AR"	"05057"	"Not Hispanic or Latino"	"2186-5"	18668
"Total"	"Hempstead County, AR"	"05057"			21532
	"Hot Spring County, AR"	"05059"	"Hispanic or Latino"	"2135-2"	1245
	"Hot Spring County, AR"	"05059"	"Not Hispanic or Latino"	"2186-5"	32526
"Total"	"Hot Spring County, AR"	"05059"			33771
	"Howard County, AR"	"05061"	"Hispanic or Latino"	"2135-2"	1738
	"Howard County, AR"	"05061"	"Not Hispanic or Latino"	"2186-5"	11464
"Total"	"Howard County, AR"	"05061"			13202
	"Independence County, AR"	"05063"	"Hispanic or Latino"	"2135-2"	2514
	"Independence County, AR"	"05063"	"Not Hispanic or Latino"	"2186-5"	35311
"Total"	"Independence County, AR"	"05063"			37825
	"Izard County, AR"	"05065"	"Hispanic or Latino"	"2135-2"	346
	"Izard County, AR"	"05065"	"Not Hispanic or Latino"	"2186-5"	13283
"Total"	"Izard County, AR"	"05065"			13629
	"Jackson County, AR"	"05067"	"Hispanic or Latino"	"2135-2"	503
	"Jackson County, AR"	"05067"	"Not Hispanic or Latino"	"2186-5"	16216
"Total"	"Jackson County, AR"	"05067"			16719
	"Jefferson County, AR"	"05069"	"Hispanic or Latino"	"2135-2"	1473
	"Jefferson County, AR"	"05069"	"Not Hispanic or Latino"	"2186-5"	65351
"Total"	"Jefferson County, AR"	"05069"			66824
	"Johnson County, AR"	"05071"	"Hispanic or Latino"	"2135-2"	3791
	"Johnson County, AR"	"05071"	"Not Hispanic or Latino"	"2186-5"	22787
"Total"	"Johnson County, AR"	"05071"			26578
	"Lafayette County, AR"	"05073"	"Hispanic or Latino"	"2135-2"	195
	"Lafayette County, AR"	"05073"	"Not Hispanic or Latino"	"2186-5"	6429
"Total"	"Lafayette County, AR"	"05073"			6624
	"Lawrence County, AR"	"05075"	"Hispanic or Latino"	"2135-2"	292
	"Lawrence County, AR"	"05075"	"Not Hispanic or Latino"	"2186-5"	16114
"Total"	"Lawrence County, AR"	"05075"			16406
	"Lee County, AR"	"05077"	"Hispanic or Latino"	"2135-2"	206
	"Lee County, AR"	"05077"	"Not Hispanic or Latino"	"2186-5"	8651
"Total"	"Lee County, AR"	"05077"			8857
	"Lincoln County, AR"	"05079"	"Hispanic or Latino"	"2135-2"	542
	"Lincoln County, AR"	"05079"	"Not Hispanic or Latino"	"2186-5"	12482
"Total"	"Lincoln County, AR"	"05079"			13024
	"Little River County, AR"	"05081"	"Hispanic or Latino"	"2135-2"	457
	"Little River County, AR"	"05081"	"Not Hispanic or Latino"	"2186-5"	11802
"Total"	"Little River County, AR"	"05081"			12259
	"Logan County, AR"	"05083"	"Hispanic or Latino"	"2135-2"	651
	"Logan County, AR"	"05083"	"Not Hispanic or Latino"	"2186-5"	20815
"Total"	"Logan County, AR"	"05083"			21466
	"Lonoke County, AR"	"05085"	"Hispanic or Latino"	"2135-2"	3350
	"Lonoke County, AR"	"05085"	"Not Hispanic or Latino"	"2186-5"	69959
"Total"	"Lonoke County, AR"	"05085"			73309
	"Madison County, AR"	"05087"	"Hispanic or Latino"	"2135-2"	977
	"Madison County, AR"	"05087"	"Not Hispanic or Latino"	"2186-5"	15599
"Total"	"Madison County, AR"	"05087"			16576
	"Marion County, AR"	"05089"	"Hispanic or Latino"	"2135-2"	408
	"Marion County, AR"	"05089"	"Not Hispanic or Latino"	"2186-5"	16286
"Total"	"Marion County, AR"	"05089"			16694
	"Miller County, AR"	"05091"	"Hispanic or Latino"	"2135-2"	1552
	"Miller County, AR"	"05091"	"Not Hispanic or Latino"	"2186-5"	41705
"Total"	"Miller County, AR"	"05091"			43257
	"Mississippi County, AR"	"05093"	"Hispanic or Latino"	"2135-2"	1791
	"Mississippi County, AR"	"05093"	"Not Hispanic or Latino"	"2186-5"	38860
"Total"	"Mississippi County, AR"	"05093"			40651
	"Monroe County, AR"	"05095"	"Hispanic or Latino"	"2135-2"	174
	"Monroe County, AR"	"05095"	"Not Hispanic or Latino"	"2186-5"	6527
"Total"	"Monroe County, AR"	"05095"			6701
	"Montgomery County, AR"	"05097"	"Hispanic or Latino"	"2135-2"	407
	"Montgomery County, AR"	"05097"	"Not Hispanic or Latino"	"2186-5"	8579
"Total"	"Montgomery County, AR"	"05097"			8986
	"Nevada County, AR"	"05099"	"Hispanic or Latino"	"2135-2"	389
	"Nevada County, AR"	"05099"	"Not Hispanic or Latino"	"2186-5"	7863
"Total"	"Nevada County, AR"	"05099"			8252
	"Newton County, AR"	"05101"	"Hispanic or Latino"	"2135-2"	151
	"Newton County, AR"	"05101"	"Not Hispanic or Latino"	"2186-5"	7602
"Total"	"Newton County, AR"	"05101"			7753
	"Ouachita County, AR"	"05103"	"Hispanic or Latino"	"2135-2"	598
	"Ouachita County, AR"	"05103"	"Not Hispanic or Latino"	"2186-5"	22784
"Total"	"Ouachita County, AR"	"05103"			23382
	"Perry County, AR"	"05105"	"Hispanic or Latino"	"2135-2"	324
	"Perry County, AR"	"05105"	"Not Hispanic or Latino"	"2186-5"	10131
"Total"	"Perry County, AR"	"05105"			10455
	"Phillips County, AR"	"05107"	"Hispanic or Latino"	"2135-2"	354
	"Phillips County, AR"	"05107"	"Not Hispanic or Latino"	"2186-5"	17428
"Total"	"Phillips County, AR"	"05107"			17782
	"Pike County, AR"	"05109"	"Hispanic or Latino"	"2135-2"	706
	"Pike County, AR"	"05109"	"Not Hispanic or Latino"	"2186-5"	10012
"Total"	"Pike County, AR"	"05109"			10718
	"Poinsett County, AR"	"05111"	"Hispanic or Latino"	"2135-2"	782
	"Poinsett County, AR"	"05111"	"Not Hispanic or Latino"	"2186-5"	22746
"Total"	"Poinsett County, AR"	"05111"			23528
	"Polk County, AR"	"05113"	"Hispanic or Latino"	"2135-2"	1314
	"Polk County, AR"	"05113"	"Not Hispanic or Latino"	"2186-5"	18650
"Total"	"Polk County, AR"	"05113"			19964
	"Pope County, AR"	"05115"	"Hispanic or Latino"	"2135-2"	6152
	"Pope County, AR"	"05115"	"Not Hispanic or Latino"	"2186-5"	57920
"Total"	"Pope County, AR"	"05115"			64072
	"Prairie County, AR"	"05117"	"Hispanic or Latino"	"2135-2"	161
	"Prairie County, AR"	"05117"	"Not Hispanic or Latino"	"2186-5"	7901
"Total"	"Prairie County, AR"	"05117"			8062
	"Pulaski County, AR"	"05119"	"Hispanic or Latino"	"2135-2"	24493
	"Pulaski County, AR"	"05119"	"Not Hispanic or Latino"	"2186-5"	367418
"Total"	"Pulaski County, AR"	"05119"			391911
	"Randolph County, AR"	"05121"	"Hispanic or Latino"	"2135-2"	402
	"Randolph County, AR"	"05121"	"Not Hispanic or Latino"	"2186-5"	17556
"Total"	"Randolph County, AR"	"05121"			17958
	"St. Francis County, AR"	"05123"	"Hispanic or Latino"	"2135-2"	1368
	"St. Francis County, AR"	"05123"	"Not Hispanic or Latino"	"2186-5"	23626
"Total"	"St. Francis County, AR"	"05123"			24994
	"Saline County, AR"	"05125"	"Hispanic or Latino"	"2135-2"	6292
	"Saline County, AR"	"05125"	"Not Hispanic or Latino"	"2186-5"	116145
"Total"	"Saline County, AR"	"05125"			122437
	"Scott County, AR"	"05127"	"Hispanic or Latino"	"2135-2"	816
	"Scott County, AR"	"05127"	"Not Hispanic or Latino"	"2186-5"	9465
"Total"	"Scott County, AR"	"05127"			10281
	"Searcy County, AR"	"05129"	"Hispanic or Latino"	"2135-2"	224
	"Searcy County, AR"	"05129"	"Not Hispanic or Latino"	"2186-5"	7657
"Total"	"Searcy County, AR"	"05129"			7881
	"Sebastian County, AR"	"05131"	"Hispanic or Latino"	"2135-2"	18863
	"Sebastian County, AR"	"05131"	"Not Hispanic or Latino"	"2186-5"	108964
"Total"	"Sebastian County, AR"	"05131"			127827
	"Sevier County, AR"	"05133"	"Hispanic or Latino"	"2135-2"	5829
	"Sevier County, AR"	"05133"	"Not Hispanic or Latino"	"2186-5"	11178
"Total"	"Sevier County, AR"	"05133"			17007
	"Sharp County, AR"	"05135"	"Hispanic or Latino"	"2135-2"	450
	"Sharp County, AR"	"05135"	"Not Hispanic or Latino"	"2186-5"	16992
"Total"	"Sharp County, AR"	"05135"			17442
	"Stone County, AR"	"05137"	"Hispanic or Latino"	"2135-2"	238
	"Stone County, AR"	"05137"	"Not Hispanic or Latino"	"2186-5"	12268
"Total"	"Stone County, AR"	"05137"			12506
	"Union County, AR"	"05139"	"Hispanic or Latino"	"2135-2"	1611
	"Union County, AR"	"05139"	"Not Hispanic or Latino"	"2186-5"	37071
"Total"	"Union County, AR"	"05139"			38682
	"Van Buren County, AR"	"05141"	"Hispanic or Latino"	"2135-2"	522
	"Van Buren County, AR"	"05141"	"Not Hispanic or Latino"	"2186-5"	16023
"Total"	"Van Buren County, AR"	"05141"			16545
	"Washington County, AR"	"05143"	"Hispanic or Latino"	"2135-2"	40999
	"Washington County, AR"	"05143"	"Not Hispanic or Latino"	"2186-5"	198188
"Total"	"Washington County, AR"	"05143"			239187
	"White County, AR"	"05145"	"Hispanic or Latino"	"2135-2"	3501
	"White County, AR"	"05145"	"Not Hispanic or Latino"	"2186-5"	75252
"Total"	"White County, AR"	"05145"			78753
	"Woodruff County, AR"	"05147"	"Hispanic or Latino"	"2135-2"	140
	"Woodruff County, AR"	"05147"	"Not Hispanic or Latino"	"2186-5"	6180
"Total"	"Woodruff County, AR"	"05147"			6320
	"Yell County, AR"	"05149"	"Hispanic or Latino"	"2135-2"	4371
	"Yell County, AR"	"05149"	"Not Hispanic or Latino"	"2186-5"	16970
"Total"	"Yell County, AR"	"05149"			21341
	"Alameda County, CA"	"06001"	"Hispanic or Latino"	"2135-2"	373055
	"Alameda County, CA"	"06001"	"Not Hispanic or Latino"	"2186-5"	1298274
"Total"	"Alameda County, CA"	"06001"			1671329
	"Alpine County, CA"	"06003"	"Hispanic or Latino"	"2135-2"	139
	"Alpine County, CA"	"06003"	"Not Hispanic or Latino"	"2186-5"	990
"Total"	"Alpine County, CA"	"06003"			1129
	"Amador County, CA"	"06005"	"Hispanic or Latino"	"2135-2"	5753
	"Amador County, CA"	"06005"	"Not Hispanic or Latino"	"2186-5"	33999
"Total"	"Amador County, CA"	"06005"			39752
	"Butte County, CA"	"06007"	"Hispanic or Latino"	"2135-2"	37731
	"Butte County, CA"	"06007"	"Not Hispanic or Latino"	"2186-5"	181455
"Total"	"Butte County, CA"	"06007"			219186
	"Calaveras County, CA"	"06009"	"Hispanic or Latino"	"2135-2"	5967
	"Calaveras County, CA"	"06009"	"Not Hispanic or Latino"	"2186-5"	39938
"Total"	"Calaveras County, CA"	"06009"			45905
	"Colusa County, CA"	"06011"	"Hispanic or Latino"	"2135-2"	13018
	"Colusa County, CA"	"06011"	"Not Hispanic or Latino"	"2186-5"	8529
"Total"	"Colusa County, CA"	"06011"			21547
	"Contra Costa County, CA"	"06013"	"Hispanic or Latino"	"2135-2"	300420
	"Contra Costa County, CA"	"06013"	"Not Hispanic or Latino"	"2186-5"	853106
"Total"	"Contra Costa County, CA"	"06013"			1153526
	"Del Norte County, CA"	"06015"	"Hispanic or Latino"	"2135-2"	5596
	"Del Norte County, CA"	"06015"	"Not Hispanic or Latino"	"2186-5"	22216
"Total"	"Del Norte County, CA"	"06015"			27812
	"El Dorado County, CA"	"06017"	"Hispanic or Latino"	"2135-2"	25378
	"El Dorado County, CA"	"06017"	"Not Hispanic or Latino"	"2186-5"	167465
"Total"	"El Dorado County, CA"	"06017"			192843
	"Fresno County, CA"	"06019"	"Hispanic or Latino"	"2135-2"	537180
	"Fresno County, CA"	"06019"	"Not Hispanic or Latino"	"2186-5"	461921
"Total"	"Fresno County, CA"	"06019"			999101
	"Glenn County, CA"	"06021"	"Hispanic or Latino"	"2135-2"	12079
	"Glenn County, CA"	"06021"	"Not Hispanic or Latino"	"2186-5"	16314
"Total"	"Glenn County, CA"	"06021"			28393
	"Humboldt County, CA"	"06023"	"Hispanic or Latino"	"2135-2"	16354
	"Humboldt County, CA"	"06023"	"Not Hispanic or Latino"	"2186-5"	119204
"Total"	"Humboldt County, CA"	"06023"			135558
	"Imperial County, CA"	"06025"	"Hispanic or Latino"	"2135-2"	154088
	"Imperial County, CA"	"06025"	"Not Hispanic or Latino"	"2186-5"	27127
"Total"	"Imperial County, CA"	"06025"			181215
	"Inyo County, CA"	"06027"	"Hispanic or Latino"	"2135-2"	4230
	"Inyo County, CA"	"06027"	"Not Hispanic or Latino"	"2186-5"	13809
"Total"	"Inyo County, CA"	"06027"			18039
	"Kern County, CA"	"06029"	"Hispanic or Latino"	"2135-2"	491545
	"Kern County, CA"	"06029"	"Not Hispanic or Latino"	"2186-5"	408657
"Total"	"Kern County, CA"	"06029"			900202
	"Kings County, CA"	"06031"	"Hispanic or Latino"	"2135-2"	84514
	"Kings County, CA"	"06031"	"Not Hispanic or Latino"	"2186-5"	68426
"Total"	"Kings County, CA"	"06031"			152940
	"Lake County, CA"	"06033"	"Hispanic or Latino"	"2135-2"	14171
	"Lake County, CA"	"06033"	"Not Hispanic or Latino"	"2186-5"	50215
"Total"	"Lake County, CA"	"06033"			64386
	"Lassen County, CA"	"06035"	"Hispanic or Latino"	"2135-2"	5910
	"Lassen County, CA"	"06035"	"Not Hispanic or Latino"	"2186-5"	24663
"Total"	"Lassen County, CA"	"06035"			30573
	"Los Angeles County, CA"	"06037"	"Hispanic or Latino"	"2135-2"	4881970
	"Los Angeles County, CA"	"06037"	"Not Hispanic or Latino"	"2186-5"	5157137
"Total"	"Los Angeles County, CA"	"06037"			10039107
	"Madera County, CA"	"06039"	"Hispanic or Latino"	"2135-2"	92483
	"Madera County, CA"	"06039"	"Not Hispanic or Latino"	"2186-5"	64844
"Total"	"Madera County, CA"	"06039"			157327
	"Marin County, CA"	"06041"	"Hispanic or Latino"	"2135-2"	42160
	"Marin County, CA"	"06041"	"Not Hispanic or Latino"	"2186-5"	216666
"Total"	"Marin County, CA"	"06041"			258826
	"Mariposa County, CA"	"06043"	"Hispanic or Latino"	"2135-2"	2073
	"Mariposa County, CA"	"06043"	"Not Hispanic or Latino"	"2186-5"	15130
"Total"	"Mariposa County, CA"	"06043"			17203
	"Mendocino County, CA"	"06045"	"Hispanic or Latino"	"2135-2"	22379
	"Mendocino County, CA"	"06045"	"Not Hispanic or Latino"	"2186-5"	64370
"Total"	"Mendocino County, CA"	"06045"			86749
	"Merced County, CA"	"06047"	"Hispanic or Latino"	"2135-2"	169442
	"Merced County, CA"	"06047"	"Not Hispanic or Latino"	"2186-5"	108238
"Total"	"Merced County, CA"	"06047"			277680
	"Modoc County, CA"	"06049"	"Hispanic or Latino"	"2135-2"	1291
	"Modoc County, CA"	"06049"	"Not Hispanic or Latino"	"2186-5"	7550
"Total"	"Modoc County, CA"	"06049"			8841
	"Mono County, CA"	"06051"	"Hispanic or Latino"	"2135-2"	3875
	"Mono County, CA"	"06051"	"Not Hispanic or Latino"	"2186-5"	10569
"Total"	"Mono County, CA"	"06051"			14444
	"Monterey County, CA"	"06053"	"Hispanic or Latino"	"2135-2"	257721
	"Monterey County, CA"	"06053"	"Not Hispanic or Latino"	"2186-5"	176340
"Total"	"Monterey County, CA"	"06053"			434061
	"Napa County, CA"	"06055"	"Hispanic or Latino"	"2135-2"	47660
	"Napa County, CA"	"06055"	"Not Hispanic or Latino"	"2186-5"	90084
"Total"	"Napa County, CA"	"06055"			137744
	"Nevada County, CA"	"06057"	"Hispanic or Latino"	"2135-2"	9732
	"Nevada County, CA"	"06057"	"Not Hispanic or Latino"	"2186-5"	90023
"Total"	"Nevada County, CA"	"06057"			99755
	"Orange County, CA"	"06059"	"Hispanic or Latino"	"2135-2"	1081091
	"Orange County, CA"	"06059"	"Not Hispanic or Latino"	"2186-5"	2094601
"Total"	"Orange County, CA"	"06059"			3175692
	"Placer County, CA"	"06061"	"Hispanic or Latino"	"2135-2"	57381
	"Placer County, CA"	"06061"	"Not Hispanic or Latino"	"2186-5"	340948
"Total"	"Placer County, CA"	"06061"			398329
	"Plumas County, CA"	"06063"	"Hispanic or Latino"	"2135-2"	1750
	"Plumas County, CA"	"06063"	"Not Hispanic or Latino"	"2186-5"	17057
"Total"	"Plumas County, CA"	"06063"			18807
	"Riverside County, CA"	"06065"	"Hispanic or Latino"	"2135-2"	1236032
	"Riverside County, CA"	"06065"	"Not Hispanic or Latino"	"2186-5"	1234514
"Total"	"Riverside County, CA"	"06065"			2470546
	"Sacramento County, CA"	"06067"	"Hispanic or Latino"	"2135-2"	366764
	"Sacramento County, CA"	"06067"	"Not Hispanic or Latino"	"2186-5"	1185294
"Total"	"Sacramento County, CA"	"06067"			1552058
	"San Benito County, CA"	"06069"	"Hispanic or Latino"	"2135-2"	38214
	"San Benito County, CA"	"06069"	"Not Hispanic or Latino"	"2186-5"	24594
"Total"	"San Benito County, CA"	"06069"			62808
	"San Bernardino County, CA"	"06071"	"Hispanic or Latino"	"2135-2"	1186808
	"San Bernardino County, CA"	"06071"	"Not Hispanic or Latino"	"2186-5"	993277
"Total"	"San Bernardino County, CA"	"06071"			2180085
	"San Diego County, CA"	"06073"	"Hispanic or Latino"	"2135-2"	1140033
	"San Diego County, CA"	"06073"	"Not Hispanic or Latino"	"2186-5"	2198297
"Total"	"San Diego County, CA"	"06073"			3338330
	"San Francisco County, CA"	"06075"	"Hispanic or Latino"	"2135-2"	134309
	"San Francisco County, CA"	"06075"	"Not Hispanic or Latino"	"2186-5"	747240
"Total"	"San Francisco County, CA"	"06075"			881549
	"San Joaquin County, CA"	"06077"	"Hispanic or Latino"	"2135-2"	320334
	"San Joaquin County, CA"	"06077"	"Not Hispanic or Latino"	"2186-5"	441814
"Total"	"San Joaquin County, CA"	"06077"			762148
	"San Luis Obispo County, CA"	"06079"	"Hispanic or Latino"	"2135-2"	64860
	"San Luis Obispo County, CA"	"06079"	"Not Hispanic or Latino"	"2186-5"	218251
"Total"	"San Luis Obispo County, CA"	"06079"			283111
	"San Mateo County, CA"	"06081"	"Hispanic or Latino"	"2135-2"	183978
	"San Mateo County, CA"	"06081"	"Not Hispanic or Latino"	"2186-5"	582595
"Total"	"San Mateo County, CA"	"06081"			766573
	"Santa Barbara County, CA"	"06083"	"Hispanic or Latino"	"2135-2"	205535
	"Santa Barbara County, CA"	"06083"	"Not Hispanic or Latino"	"2186-5"	240964
"Total"	"Santa Barbara County, CA"	"06083"			446499
	"Santa Clara County, CA"	"06085"	"Hispanic or Latino"	"2135-2"	482298
	"Santa Clara County, CA"	"06085"	"Not Hispanic or Latino"	"2186-5"	1445554
"Total"	"Santa Clara County, CA"	"06085"			1927852
	"Santa Cruz County, CA"	"06087"	"Hispanic or Latino"	"2135-2"	92922
	"Santa Cruz County, CA"	"06087"	"Not Hispanic or Latino"	"2186-5"	180291
"Total"	"Santa Cruz County, CA"	"06087"			273213
	"Shasta County, CA"	"06089"	"Hispanic or Latino"	"2135-2"	18935
	"Shasta County, CA"	"06089"	"Not Hispanic or Latino"	"2186-5"	161145
"Total"	"Shasta County, CA"	"06089"			180080
	"Sierra County, CA"	"06091"	"Hispanic or Latino"	"2135-2"	381
	"Sierra County, CA"	"06091"	"Not Hispanic or Latino"	"2186-5"	2624
"Total"	"Sierra County, CA"	"06091"			3005
	"Siskiyou County, CA"	"06093"	"Hispanic or Latino"	"2135-2"	5744
	"Siskiyou County, CA"	"06093"	"Not Hispanic or Latino"	"2186-5"	37795
"Total"	"Siskiyou County, CA"	"06093"			43539
	"Solano County, CA"	"06095"	"Hispanic or Latino"	"2135-2"	122103
	"Solano County, CA"	"06095"	"Not Hispanic or Latino"	"2186-5"	325540
"Total"	"Solano County, CA"	"06095"			447643
	"Sonoma County, CA"	"06097"	"Hispanic or Latino"	"2135-2"	134954
	"Sonoma County, CA"	"06097"	"Not Hispanic or Latino"	"2186-5"	359382
"Total"	"Sonoma County, CA"	"06097"			494336
	"Stanislaus County, CA"	"06099"	"Hispanic or Latino"	"2135-2"	262068
	"Stanislaus County, CA"	"06099"	"Not Hispanic or Latino"	"2186-5"	288592
"Total"	"Stanislaus County, CA"	"06099"			550660
	"Sutter County, CA"	"06101"	"Hispanic or Latino"	"2135-2"	30907
	"Sutter County, CA"	"06101"	"Not Hispanic or Latino"	"2186-5"	66064
"Total"	"Sutter County, CA"	"06101"			96971
	"Tehama County, CA"	"06103"	"Hispanic or Latino"	"2135-2"	16776
	"Tehama County, CA"	"06103"	"Not Hispanic or Latino"	"2186-5"	48308
"Total"	"Tehama County, CA"	"06103"			65084
	"Trinity County, CA"	"06105"	"Hispanic or Latino"	"2135-2"	907
	"Trinity County, CA"	"06105"	"Not Hispanic or Latino"	"2186-5"	11378
"Total"	"Trinity County, CA"	"06105"			12285
	"Tulare County, CA"	"06107"	"Hispanic or Latino"	"2135-2"	305824
	"Tulare County, CA"	"06107"	"Not Hispanic or Latino"	"2186-5"	160371
"Total"	"Tulare County, CA"	"06107"			466195
	"Tuolumne County, CA"	"06109"	"Hispanic or Latino"	"2135-2"	6906
	"Tuolumne County, CA"	"06109"	"Not Hispanic or Latino"	"2186-5"	47572
"Total"	"Tuolumne County, CA"	"06109"			54478
	"Ventura County, CA"	"06111"	"Hispanic or Latino"	"2135-2"	365835
	"Ventura County, CA"	"06111"	"Not Hispanic or Latino"	"2186-5"	480171
